algorithm_name,env_n,size,best_solution,H,states,time
HC,22,10,"[8, 3, 0, 9, 7, 2, 0, 6, 1, 5]",1,432,0.0021398067474365234
HC,23,10,"[4, 1, 7, 9, 3, 0, 0, 8, 5, 2]",1,440,0.0021905899047851562
HC,24,10,"[6, 9, 2, 0, 5, 3, 8, 1, 7, 4]",1,422,0.002111673355102539
HC,25,10,"[6, 8, 1, 5, 7, 0, 4, 0, 4, 9]",2,332,0.001638650894165039
HC,26,10,"[6, 3, 0, 4, 8, 0, 2, 7, 1, 9]",2,432,0.0021648406982421875
HC,27,10,"[7, 0, 7, 3, 1, 9, 4, 8, 5, 2]",2,416,0.0020482540130615234
HC,28,10,"[1, 3, 8, 6, 2, 0, 2, 7, 5, 3]",2,424,0.002092123031616211
HC,29,10,"[8, 1, 3, 9, 0, 4, 1, 9, 5, 2]",2,422,0.0020759105682373047


GA,0,4,"[2, 0, 3, 1]",0,8,0.0002117156982421875
GA,1,4,"[1, 3, 0, 2]",0,41,0.0006601810455322266
GA,2,4,"[2, 2, 3, 1]",2,100,0.0014920234680175781
GA,3,4,"[3, 0, 3, 1]",1,100,0.001500844955444336
GA,4,4,"[1, 2, 0, 3]",1,100,0.0015268325805664062
GA,5,4,"[2, 0, 1, 3]",1,100,0.001451730728149414
GA,6,4,"[1, 3, 0, 2]",0,51,0.0007939338684082031
GA,7,4,"[2, 1, 3, 0]",1,100,0.0015110969543457031
GA,8,4,"[2, 0, 3, 0]",1,100,0.00148773193359375
GA,9,4,"[1, 2, 0, 3]",1,100,0.0015459060668945312
GA,10,4,"[1, 3, 0, 2]",0,54,0.0008170604705810547
GA,11,4,"[2, 3, 1, 0]",2,100,0.0014960765838623047
GA,12,4,"[1, 3, 0, 2]",0,52,0.0007956027984619141
GA,13,4,"[3, 1, 0, 2]",1,100,0.0015363693237304688
GA,14,4,"[2, 0, 3, 1]",0,9,0.00017547607421875
GA,15,4,"[1, 3, 0, 2]",0,68,0.0010306835174560547
GA,16,4,"[3, 1, 0, 2]",1,100,0.001516103744506836
GA,17,4,"[2, 0, 3, 1]",0,49,0.0007593631744384766
GA,18,4,"[2, 0, 3, 1]",0,69,0.0010356903076171875
GA,19,4,"[1, 3, 0, 2]",0,20,0.00032639503479003906
GA,20,4,"[3, 1, 0, 2]",1,100,0.0014700889587402344
GA,21,4,"[3, 0, 2, 1]",1,100,0.001478433609008789
GA,22,4,"[1, 3, 0, 2]",0,0,3.5762786865234375e-05
GA,23,4,"[1, 3, 0, 2]",0,37,0.0005791187286376953
GA,24,4,"[2, 0, 3, 1]",0,33,0.0005218982696533203
GA,25,4,"[3, 0, 2, 1]",1,100,0.0015125274658203125
GA,26,4,"[2, 1, 3, 0]",1,100,0.0015017986297607422
GA,27,4,"[0, 2, 3, 1]",1,100,0.0015006065368652344
GA,28,4,"[1, 2, 0, 3]",1,100,0.0015094280242919922
